age,organ,value
eight,shoot,19.6
eight,shoot,26.2
eight,shoot,17.2
eight,shoot,23.1
eight,shoot,26.1
eight,shoot,17.2
three,shoot,22.3
three,shoot,19.4
three,shoot,22.7
three,shoot,8.2
three,shoot,11.6
three,shoot,12.4
zero,shoot,20.7
zero,shoot,28.9
zero,shoot,32.8
zero,shoot,11.7
zero,shoot,29.7
zero,shoot,33.5
zero,shoot,8.6
zero,shoot,14.7
zero,shoot,9.8
eight,root,13.7
eight,root,37.9
eight,root,32.3
eight,root,34
eight,root,35.3
eight,root,24.1
three,root,24.7
three,root,6.9
three,root,37.3
three,root,15.3
three,root,15.9
three,root,15.6
zero,root,36.2
zero,root,51.5
zero,root,54.7
zero,root,20.9
zero,root,40.9
zero,root,47.2
zero,root,17.4
zero,root,20.5
zero,root,12.9
