age,syncom,organ,value
eight,y,shoot,31.4
eight,y,shoot,33.5
eight,y,shoot,35.3
eight,y,shoot,52.4
eight,y,shoot,51.2
eight,y,shoot,43.8
three,y,shoot,50.4
three,y,shoot,27.5
three,y,shoot,38.8
three,y,shoot,24.1
three,y,shoot,30.6
three,y,shoot,18.4
zero,y,shoot,14.3
zero,y,shoot,26.7
zero,y,shoot,24.1
zero,y,shoot,23.6
zero,y,shoot,27.6
zero,y,shoot,18.1
zero,y,shoot,17.3
zero,y,shoot,27
eight,n,shoot,51.7
eight,n,shoot,55.4
three,n,shoot,21.9
three,n,shoot,36.2
three,n,shoot,55.1
zero,n,shoot,20.7
zero,n,shoot,21.7
eight,y,root,95.3
eight,y,root,66.7
eight,y,root,39.3
eight,y,root,99.2
eight,y,root,101.4
eight,y,root,88.7
three,y,root,77.4
three,y,root,52.6
three,y,root,79.3
three,y,root,45.9
three,y,root,46
three,y,root,59.8
zero,y,root,19.4
zero,y,root,86
zero,y,root,40.7
zero,y,root,50.5
zero,y,root,65.2
zero,y,root,27
zero,y,root,45.8
zero,y,root,65.4
eight,n,root,163.5
eight,n,root,133.3
three,n,root,55.6
three,n,root,57.6
three,n,root,78.3
zero,n,root,17.8
zero,n,root,30.3
